                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78976,                 1.2637,                 1.2521,                0.98829,                0.86667,                0.92677,                0.76856,                 1.1478,                0.56997,                 1.1761,                      0,                      0,                      0
                      2,                 1.1428,                 1.9827,                  1.583,                0.98901,                0.86667,                0.92677,                0.77069,                 1.1428,                0.57884,                 1.1737,             1.1664e-06,             1.1664e-06,             1.1664e-06
                      3,                0.56401,                0.89494,                 1.0084,                0.98949,                0.86667,                0.92677,                0.77069,                 1.1382,                0.57246,                 1.1748,             2.2858e-06,             2.2858e-06,             2.2858e-06
                      4,                0.99711,                  1.977,                 1.6079,                0.98871,                0.86667,                0.92677,                0.77002,                   1.12,                0.56353,                 1.1701,             3.3579e-06,             3.3579e-06,             3.3579e-06
                      5,                 1.0748,                  1.872,                  1.581,                0.98869,                0.86667,                0.92677,                0.76789,                 1.1129,                0.57069,                 1.1685,              4.383e-06,              4.383e-06,              4.383e-06
                      6,                0.54686,                   1.15,                  1.021,                0.98959,                0.86667,                0.92677,                0.78897,                 1.1137,                 0.5756,                 1.1693,             5.3609e-06,             5.3609e-06,             5.3609e-06
                      7,                 1.0743,                 1.5819,                 1.5641,                0.99111,                0.86667,                0.92677,                0.80555,                 1.1132,                0.57458,                  1.169,             6.2918e-06,             6.2918e-06,             6.2918e-06
                      8,                0.81736,                 2.4613,                 1.4549,                0.99325,                0.86667,                0.92677,                0.82205,                  1.112,                0.56731,                 1.1689,             7.1755e-06,             7.1755e-06,             7.1755e-06
                      9,                0.64848,                  1.059,                 1.2588,                0.99418,                0.86667,                0.92677,                0.82205,                 1.1027,                0.57368,                 1.1666,              8.012e-06,              8.012e-06,              8.012e-06
                     10,                0.76076,                0.68301,                 1.2702,                      1,                0.86667,                   0.93,                0.82528,                 1.0992,                0.56814,                 1.1612,             8.8015e-06,             8.8015e-06,             8.8015e-06
                     11,                 1.0149,                 1.1694,                 1.4629,                      1,                0.86667,                   0.93,                0.82528,                 1.0914,                0.56928,                 1.1578,             9.5438e-06,             9.5438e-06,             9.5438e-06
                     12,                0.59315,                0.76152,                 1.1097,                      1,                0.86667,                   0.93,                0.81108,                 1.0809,                0.56691,                 1.1545,             1.0239e-05,             1.0239e-05,             1.0239e-05
                     13,                   0.88,                 1.3519,                 1.4193,                      1,                0.86667,                   0.93,                0.81278,                 1.0836,                0.56897,                 1.1544,             1.0887e-05,             1.0887e-05,             1.0887e-05
                     14,                 0.4597,                 0.5504,                 1.0321,                      1,                0.86667,                   0.93,                0.81278,                 1.1024,                0.58418,                 1.1613,             1.1488e-05,             1.1488e-05,             1.1488e-05
                     15,                0.85174,                 1.2454,                 1.2259,                0.94858,                0.86667,                   0.93,                0.80783,                 1.0998,                0.59932,                 1.1606,             1.2042e-05,             1.2042e-05,             1.2042e-05
                     16,                0.80543,                0.51807,                 1.2378,                0.94444,                0.88333,                0.93833,                0.79841,                 1.1064,                0.62343,                 1.1677,             1.2549e-05,             1.2549e-05,             1.2549e-05
