                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.78976,                 1.2637,                 1.2521,                0.98829,                0.86667,                0.92677,                0.76856,                 1.1478,                0.56997,                 1.1761,                      0,                      0,                      0
                      2,                 1.1428,                 1.9827,                  1.583,                0.98901,                0.86667,                0.92677,                0.77069,                 1.1428,                0.57884,                 1.1737,             1.1664e-06,             1.1664e-06,             1.1664e-06
                      3,                0.56402,                0.89494,                 1.0084,                0.98949,                0.86667,                0.92677,                0.77069,                 1.1382,                0.57246,                 1.1748,             2.2858e-06,             2.2858e-06,             2.2858e-06
                      4,                0.99711,                  1.977,                 1.6079,                0.98871,                0.86667,                0.92677,                0.77002,                   1.12,                0.56353,                 1.1701,             3.3579e-06,             3.3579e-06,             3.3579e-06
                      5,                 1.0748,                  1.872,                  1.581,                0.98869,                0.86667,                0.92677,                0.77414,                 1.1122,                 0.5717,                 1.1686,              4.383e-06,              4.383e-06,              4.383e-06
                      6,                0.54683,                 1.1501,                 1.0207,                0.98937,                0.86667,                0.92677,                0.78897,                 1.1187,                 0.5765,                 1.1708,             5.3609e-06,             5.3609e-06,             5.3609e-06
                      7,                 1.0731,                 1.5836,                 1.5641,                0.99122,                0.86667,                0.92677,                0.80555,                 1.1113,                0.56956,                 1.1668,             6.2918e-06,             6.2918e-06,             6.2918e-06
                      8,                0.81652,                 2.4618,                 1.4543,                0.99308,                0.86667,                0.92677,                0.82205,                 1.1082,                0.56934,                 1.1676,             7.1755e-06,             7.1755e-06,             7.1755e-06
                      9,                0.64997,                 1.0636,                 1.2601,                0.99411,                0.86667,                0.92677,                0.82205,                 1.1022,                0.57113,                 1.1634,              8.012e-06,              8.012e-06,              8.012e-06
                     10,                0.75976,                0.68522,                  1.269,                      1,                0.86667,                   0.93,                0.82528,                 1.0929,                0.57578,                 1.1625,             8.8015e-06,             8.8015e-06,             8.8015e-06
                     11,                 1.0062,                 1.1599,                 1.4578,                      1,                0.86667,                   0.93,                0.80708,                 1.0937,                0.57519,                 1.1616,             9.5438e-06,             9.5438e-06,             9.5438e-06
                     12,                0.58435,                0.74745,                 1.1052,                      1,                0.86667,                   0.93,                0.79458,                 1.0888,                0.57005,                 1.1619,             1.0239e-05,             1.0239e-05,             1.0239e-05
                     13,                0.87395,                 1.3355,                 1.4167,                      1,                0.86667,                   0.93,                0.81278,                 1.0821,                0.56909,                 1.1648,             1.0887e-05,             1.0887e-05,             1.0887e-05
                     14,                0.45955,                 0.5616,                 1.0268,                      1,                0.86667,                   0.93,                0.81278,                 1.0891,                0.57601,                 1.1658,             1.1488e-05,             1.1488e-05,             1.1488e-05
                     15,                0.85818,                 1.2832,                 1.2383,                      1,                0.86667,                   0.93,                0.81066,                 1.1031,                0.59464,                 1.1702,             1.2042e-05,             1.2042e-05,             1.2042e-05
                     16,                0.80001,                0.53071,                 1.2333,                      1,                0.86667,                   0.93,                0.80357,                 1.0962,                0.61821,                 1.1741,             1.2549e-05,             1.2549e-05,             1.2549e-05
